maj_class,sub_class,count,percent_within_maj
Administrative Area,Office Compound,32,100.0
Agricultural Land,Double Crop Land,3873,32.36
Agricultural Land,Triple Crop Land,2998,25.05
Agricultural Land,Agroforestry,2044,17.08
Agricultural Land,Betel Leaf Trellis,1249,10.44
Agricultural Land,Cultivable Fallow Land,1226,10.24
Agricultural Land,Single Crop Land,427,3.57
Agricultural Land,Orchard,132,1.1
Agricultural Land,Rice-cum-Fish Culture,19,0.16
Commercial Area,Commercial Area,275,85.94
Commercial Area,Brick Field,41,12.81
Commercial Area,Filling Station,4,1.25
Educational Institutions,School/College/Madrasha,179,100.0
Forest,Mangrove Plantation,11,100.0
Industrial Area,Rice Mill /Chatal,5,100.0
Miscellaneous Landuse,Non-cultivable Fallow Land,25,96.15
Miscellaneous Landuse,Mudflat,1,3.85
Recreational Places,Playground,109,100.0
Religious Places,Mosque,59,88.06
Religious Places,Eidgah,3,4.48
Religious Places,Temple,3,4.48
Religious Places,Graveyard,2,2.99
Road,Rural Road,467,85.69
Road,Access Road,59,10.83
Road,Upazila Road,11,2.02
Road,Embankment cum Road,4,0.73
Road,Right of Way,3,0.55
Road,Regional Road,1,0.18
Settlement,Rural Settlement with Homestead Vegetation,9075,96.12
Settlement,Urban Built-up Area,282,2.99
Settlement,Area Under Development,52,0.55
Settlement,Open space,32,0.34
Terminal,Boat Ghat,1,50.0
Terminal,Launch Terminal,1,50.0
Water Bodies,Pond,16250,67.44
Water Bodies,Aquaculture,3603,14.95
Water Bodies,Ditch,3449,14.31
Water Bodies,Canal,752,3.12
Water Bodies,River,40,0.17
