maj_class,sub_class,count,percent_within_maj
Administrative Area,Office Compound,34,100.0
Agricultural Land,Agroforestry,3722,36.29
Agricultural Land,Triple Crop Land,2099,20.47
Agricultural Land,Single Crop Land,1585,15.46
Agricultural Land,Double Crop Land,1146,11.18
Agricultural Land,Cultivable Fallow Land,763,7.44
Agricultural Land,Betel Leaf Trellis,637,6.21
Agricultural Land,Orchard,282,2.75
Agricultural Land,Rice-cum-Fish Culture,21,0.2
Commercial Area,Commercial Area,175,94.09
Commercial Area,Brick Field,11,5.91
Educational Institutions,School/College/Madrasha,145,98.64
Educational Institutions,Educational Institutions,2,1.36
Forest,Mangrove Plantation,11,100.0
Industrial Area,Rice Mill /Chatal,2,100.0
Miscellaneous Landuse,Non-cultivable Fallow Land,48,87.27
Miscellaneous Landuse,Mudflat,7,12.73
Monument,Shaheed Minar,1,100.0
Recreational Places,Playground,76,100.0
Religious Places,Mosque,54,85.71
Religious Places,Temple,3,4.76
Religious Places,Eidgah,2,3.17
Religious Places,Graveyard,2,3.17
Religious Places,Church,1,1.59
Religious Places,Religious Places,1,1.59
Road,Rural Road,271,91.86
Road,Access Road,18,6.1
Road,Upazila Road,4,1.36
Road,Bridge,1,0.34
Road,Zila Road,1,0.34
Settlement,Rural Settlement with Homestead Vegetation,4364,96.08
Settlement,Urban Built-up Area,139,3.06
Settlement,Area Under Development,37,0.81
Settlement,Open space,2,0.04
Terminal,Boat Ghat,2,66.67
Terminal,Ferry Ghat,1,33.33
Water Bodies,Pond,9751,81.7
Water Bodies,Ditch,1240,10.39
Water Bodies,Canal,642,5.38
Water Bodies,Aquaculture,292,2.45
Water Bodies,River,10,0.08
